# Experimental data from Bicerano_1996; calculated data from Azfal_2021 using Molecular Dynamics; https://dx.doi.org/10.1021/acsapm.0c00524,,,
SMILES,Experiment Tg (K),Calculated Tg (K),Calculated Tg St.Dev. (K)
[*]C1=CC=C(C=C1)C(C)(C)C1=CC=C(C=C1)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)O[*],458,562.9,8.2
[*]C1=CC=C(C=C1)C(C)(C)C2=CC(=C(C(=C2)Cl)OC(=O)O[*])Cl,459,551.2,10.9
[*]C(F)(F)C(F)(C1=C(F)C(F)=C(F)(C(F)=C1(F)))[*],467,579.9,14.2
[*]C1=CC(C)=C(C(C)=C1)C(C)(C)C1=C(C)C=C(C=C1(C))OC(=O)O[*],473,580.4,13.1
[*]N1C(=O)C2=CC=C(C=C2C1(=O))OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)C(=O)C1=CC=CC(=C1)[*],473,631.2,11.9
[*]C(F)(F)C(F)(C1=CC=C(C=C1))[*],475,590.3,14.1
[*]C1=CC=C(C=C1)C(C)(C)C1=CC=C(C=C1)OC(=O)C1=CC=C(C=C1)C(=O)O[*],478,578.2,10.2
[*]OC1=C(C)C=C(C=C1(C))[*],482,568.1,10.4
[*]OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)N1C(=O)C2=CC=C(C=C2C1(=O))[*],482,648.7,13.6
[*]N1C(=O)C2=CC=C(C=C2C1(=O))OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=C(C=CC=C1)C(=O)C1=CC=C(C=C1)[*],485,667.5,15.3
[*]N1C(=O)C2=CC=C(C=C2C1(=O))OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)C(=O)C1=CC=C(C=C1)[*],486,626.5,12
[*]OC2=C(C1=CC=CC=C1)C=C(C=C2C3=CC=CC=C3)[*],493,562.1,15.2
[*]OC1=CC=C(C=C1)C1=CC=C(C=C1)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)[*],493,619.9,8.8
[*]C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)O[*],493,647.6,16.6
[*]N1C(=O)C2=CC=C(C=C2C1(=O))OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)[*],494,649.9,12.4
[*]C1=CC=CC(=C1)N6C(=O)C5=CC2=C(C(N(C2=O)C3=CC(=CC=C3)OC4=CC=CC(=C4)O[*])=O)C=C5C6=O,494,665,13.2
[*]OC1=CC=C(C=C1)OC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)N1C(=O)C2=CC=C(C=C2C1(=O))[*],500,642.4,14.2
[*]C1=C(Cl)C=C(C=C1(Cl))C(C)(C)C1=CC(Cl)=C(C(Cl)=C1)OC(=O)O[*],503,630.1,13.8
[*]C1=CC=C(C=C1)C1(CC2CC1CC2)C1=CC=C(C=C1)OC(=O)O[*],505,594.2,13.1
[*]OC1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)N1C(=O)C2=CC=C(C=C2C1(=O))[*],512,661.7,7.6
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)C(=O)C1=CC=CC(=C1)[*],513,743.8,34.3
[*]C1=CC=C(C=C1)C2(CC3C4C(C2C3)CCC4)C5=CC=C(C=C5)OC(=O)O[*],520,638.2,11
